Model,Accuracy,Precision,Recall,F1
SVM,0.8653061224489796,0.8586956521739131,0.9575757575757575,0.9054441260744985
NaiveBayes,0.8326530612244898,0.806930693069307,0.9878787878787879,0.888283378746594
LogisticRegression,0.8204081632653061,0.7980295566502463,0.9818181818181818,0.8804347826086957
