event,event_name,pre_source_type,pre_n,post_n,pre_negative_ratio,post_negative_ratio,difference_post_minus_pre,ci95_low,ci95_high,p_value
engine_2024,2024引擎升级,search,318,492,0.2799,0.3862,0.1063,0.0408,0.1718,0.0015
rebirth_2026,2026新生版,official_post_comment,576,336,0.1354,0.6429,0.5075,0.4491,0.5659,0.0
